"","q_n","date","ISPREAD","EEFR","RET","SMB","HML","MOM","VXO","CSPREAD","TERM","TED","CISS","ADS","GDP_real"
"530",90,2008-06-13,-0.0889519401554079,-0.182394960045245,-0.40374314767063,-0.019404920685854,-0.0253825497743647,-0.254135882391298,-0.119158739572322,-0.599096362909805,0.0567655647590668,-0.452565004614566,-0.750313201812329,-0.16426955810973,0.467734912518484
"531",90,2008-06-14,-0.0889519401554079,-0.178555369825824,-0.40374314767063,-0.019404920685854,-0.0253825497743647,-0.254135882391298,-0.119158739572322,-0.599096362909805,0.0567655647590668,-0.452565004614566,-0.750313201812329,-0.162948530567193,0.467734912518484
"532",90,2008-06-15,-0.0889519401554079,-0.174750484307232,-0.40374314767063,-0.019404920685854,-0.0253825497743647,-0.254135882391298,-0.119158739572322,-0.599096362909805,0.0567655647590668,-0.452565004614566,-0.750313201812329,-0.161630133355518,0.467734912518484
"533",90,2008-06-16,-0.0873684402044992,-0.155567317716206,-0.409960249125123,0.000342993373007749,-0.0253170955921028,-0.253230488853304,-0.118859196518722,-0.596851540095635,0.0575319230687173,-0.453995919313883,-0.744237519793195,-0.160323562306281,0.467734912518484
"534",90,2008-06-17,-0.0855398291386407,-0.225162545581941,-0.387446103484132,0.00187804439587747,-0.0186553978885415,-0.272694751479147,-0.11870412349379,-0.593894845814368,0.0583695433569418,-0.455012015226409,-0.736610760938499,-0.159036235077803,0.467734912518484
"535",90,2008-06-18,-0.0838006174264541,-0.232572837441383,-0.349251108536767,0.00554811676665962,-0.0279801064019384,-0.287991602421139,-0.118970587766325,-0.590889757279932,0.0591807797075222,-0.455720030069129,-0.727447544848369,-0.157775483793991,0.467734912518484
"536",90,2008-06-19,-0.0821493781731584,-0.189836057002961,-0.365537607383048,0.0177948004364428,-0.0109064125929207,-0.284951987698318,-0.118987286624434,-0.58539027875559,0.0600920209712926,-0.456298820198251,-0.716435268080643,-0.156548544311568,0.467734912518484
"537",90,2008-06-20,-0.0806949417971587,-0.163501476836903,-0.294577047912395,0.0230695118027748,-0.0201609013503723,-0.303208644863605,-0.119606856671952,-0.581514286837781,0.0609629724010855,-0.456676812278277,-0.706744235528463,-0.155362580403654,0.467734912518484
"538",90,2008-06-21,-0.0806949417971587,-0.159899121237558,-0.294577047912395,0.0230695118027748,-0.0201609013503723,-0.303208644863605,-0.119606856671952,-0.581514286837781,0.0609629724010855,-0.456676812278277,-0.706744235528463,-0.154224649780592,0.467734912518484
"539",90,2008-06-22,-0.0806949417971587,-0.156331127809312,-0.294577047912395,0.0230695118027748,-0.0201609013503723,-0.303208644863605,-0.119606856671952,-0.581514286837781,0.0609629724010855,-0.456676812278277,-0.706744235528463,-0.153141740011566,0.467734912518484
"540",90,2008-06-23,-0.0791981506249434,-0.156735321778423,-0.29299889310195,0.00688910594432135,-0.0121547195436096,-0.342638999199288,-0.119852734723197,-0.577688235421483,0.0618642283282224,-0.457101250449433,-0.696953908897742,-0.152122376058106,0.467734912518484
"541",90,2008-06-24,-0.0777855473103667,-0.172890602025163,-0.272081046197827,-0.0230998550030047,-0.0277408670125472,-0.331750564105896,-0.120000904035674,-0.574524139524108,0.0626830889122689,-0.457257939850525,-0.686960184853481,-0.151167577513541,0.467734912518484
"542",90,2008-06-25,-0.076424386988154,-0.153461208086177,-0.296291948321566,-0.0146604672619254,-0.0179555462793703,-0.324337836620178,-0.11991160011326,-0.571991049726599,0.0635470001137246,-0.457318120138982,-0.675755752846701,-0.150278346286767,0.467734912518484
"543",90,2008-06-26,-0.0752869734582546,-0.118454232499064,-0.185138688852779,-0.00232282442348558,-0.0268925659600163,-0.348269878705918,-0.120834472904058,-0.568857434258895,0.0644277595986713,-0.457098032411418,-0.668932418584561,-0.14945570144805,0.467734912518484
"544",90,2008-06-27,-0.0741968817675932,-0.13889350737225,-0.180067481633991,0.00212618458504599,-0.0124229478985505,-0.361997812543454,-0.12166309045938,-0.566941433992298,0.0652687363951698,-0.456692404656275,-0.663267743366333,-0.148700644415876,0.467734912518484
"545",90,2008-06-28,-0.0741968817675932,-0.135525520622118,-0.180067481633991,0.00212618458504599,-0.0124229478985505,-0.361997812543454,-0.12166309045938,-0.566941433992298,0.0652687363951698,-0.456692404656275,-0.663267743366333,-0.148014182244006,0.467734912518484
"546",90,2008-06-29,-0.0741968817675932,-0.132190047282488,-0.180067481633991,0.00212618458504599,-0.0124229478985505,-0.361997812543454,-0.12166309045938,-0.566941433992298,0.0652687363951698,-0.456692404656275,-0.663267743366333,-0.147397316035284,0.467734912518484
"547",90,2008-06-30,-0.0740858973189299,0.0601582818849697,-0.184832112352497,-0.027975083939458,-0.0209223342565101,-0.385796939340251,-0.121959615794053,-0.563531658723647,0.0659490639944191,-0.456024558448014,-0.658386774226074,-0.146840422067768,0.467734912518484
"548",91,2008-07-01,0.228848652691546,-0.101389848975089,-0.0518493077332058,0.0529314478008413,0.115117326213863,-0.288611190453392,-0.153426843206695,-0.212426516226479,0.144257501324776,-0.2649295342838,-0.593282190883889,-0.223432501733271,-0.0631200068723025
"549",91,2008-07-02,0.23032670826034,-0.161378553950394,-0.00899042557244289,0.0166152019423362,0.107712552899589,-0.289134078950592,-0.12298733449063,-0.215215745188907,0.144794081098257,-0.264264271572393,-0.593051466465645,-0.222903187271484,-0.0631200068723025
"550",91,2008-07-03,0.231888999684268,-0.16967507148438,-0.0145411881232675,-0.00855777624809209,0.11277459857296,-0.29263258397531,-0.124817194125477,-0.217862348749179,0.145296448436816,-0.263623059353863,-0.593855516091806,-0.218746604207023,-0.0631200068723025
"551",91,2008-07-04,0.233409097413845,-0.166095514293064,-0.0200664168843314,-0.0333350426262926,0.117687377360615,-0.296079513431008,-0.126619701785902,-0.220372005527004,0.145785389957638,-0.262988694607042,-0.593948330652733,-0.218081644729671,-0.0631200068723025
"552",91,2008-07-05,0.233409097413845,-0.162556224369578,-0.0200664168843314,-0.0333350426262926,0.117687377360615,-0.296079513431008,-0.126619701785902,-0.220372005527004,0.145785389957638,-0.262988694607042,-0.593948330652733,-0.217465135306804,-0.0631200068723025
"553",91,2008-07-06,0.233409097413845,-0.159057109927613,-0.0200664168843314,-0.0333350426262926,0.117687377360615,-0.296079513431008,-0.126619701785902,-0.220372005527004,0.145785389957638,-0.262988694607042,-0.593948330652733,-0.216944789403941,-0.0631200068723025
"554",91,2008-07-07,0.234433137662694,-0.128027873682512,-0.00690075738568652,-0.0256082551265172,0.153740870341102,-0.313533868548444,-0.128533802109356,-0.2232958420514,0.146186030677882,-0.262379047852473,-0.593598667284585,-0.216540736195832,-0.0631200068723025
