"","q_n","date","ISPREAD","EEFR","RET","SMB","HML","MOM","VXO","CSPREAD","TERM","TED","CISS","ADS","MOM"
"4172",130,2018-06-03,-0.116444290410437,0.12272311383787,0.165320088207404,0.290656484612347,0.365514072361181,0.0850083080315915,-0.000697707392809832,0.0903215403980901,0.0821949592843101,0.0839346969414922,0.216283116861209,0.615105190137187,NA
"4173",130,2018-06-04,-0.115912430436449,0.121922752594891,0.155179140164272,0.292573197786053,0.397118553832318,0.0851214333544688,0.00727600825300101,0.0886362117486179,0.0895566252975311,0.0857828324645693,0.214985992079112,0.615591051034816,NA
"4174",130,2018-06-05,-0.115312657690941,0.121126816963138,0.15681958010668,0.320581938065399,0.426232323647934,0.0910504271136361,0.0149286032109295,0.0866731369428706,0.0902944207116345,0.087372776726502,0.214054365621032,0.61605711421746,NA
"4175",130,2018-06-06,-0.114924180520196,0.120336372051181,0.138168324543932,0.302735061229305,0.401059310583616,0.0880759668522271,0.0233114838804056,0.0844418362901642,0.0905737783247336,0.088939459485597,0.21287570527864,0.616500100673308,NA
"4176",130,2018-06-07,-0.114385431111718,0.119551547860499,0.147251730280562,0.286400690508646,0.315400865927114,0.0607365825057586,0.0307759107591075,0.0826236364709576,0.0911395930394576,0.0900276069101231,0.212042706172564,0.616916778480476,NA
"4177",130,2018-06-08,-0.113859346952878,0.118771663523607,0.142900815114436,0.285155696019109,0.34381360778073,0.0552899108213849,0.038789970919602,0.0808703870847065,0.0915666812547045,0.0908766547259736,0.21138865711965,0.617303911922631,NA
"4178",130,2018-06-09,-0.113859346952878,0.1179963085317,0.142900815114436,0.285155696019109,0.34381360778073,0.0552899108213849,0.038789970919602,0.0808703870847065,0.0915666812547045,0.0908766547259736,0.21138865711965,0.617658324665964,NA
"4179",130,2018-06-10,-0.113859346952878,0.117225363552715,0.142900815114436,0.285155696019109,0.34381360778073,0.0552899108213849,0.038789970919602,0.0808703870847065,0.0915666812547045,0.0908766547259736,0.21138865711965,0.484253875756092,NA
"4180",130,2018-06-11,-0.113458181803343,0.116458698279491,0.144542448341999,0.287402879216585,0.351436313153308,0.0372889169396937,0.0471918735199992,0.0785138522761315,0.0917563409943938,0.0921740135053106,0.210622769010443,0.484326807363758,NA
"4181",130,2018-06-12,-0.113062621789981,0.115696343515509,0.143290828257077,0.291901119763035,0.397291750039013,0.0390359266165767,0.0552452841341591,0.0769008217742702,0.0917166206105744,0.0927756561070865,0.209698291176511,0.484413340248382,NA
"4182",130,2018-06-13,-0.112745607317418,0.114938714549315,0.157772943263259,0.290470102290795,0.405224429809278,0.0433529505785566,0.0616103551120339,0.0753465671786557,0.0916606935716118,0.0936035368127905,0.208680502029951,0.484509328015417,NA
