"","q_n","date","GDP(-1)","ISPREAD","EEFR","RET","SMB","HML","MOM","VXO","CSPREAD","TERM","TED","ADS"
"11974",132,2018-10-13,343.750467874581,91.4174105016543,17.3551548455183,19.005310754339,21.8174712571024,22.4989929691783,20.7155884158633,43.2711192339754,76.7096485035712,104.300723091914,43.6696826847989,34.3155201710882
"11975",132,2018-10-14,358.505081001153,90.45836739939,17.5236521791084,18.8838641619387,21.7742080169412,22.3610039987785,20.6219391586433,42.9539857874535,75.8556276544008,102.35203991727,43.0468635854738,34.5079461436868
"11976",132,2018-10-15,331.163401352889,86.202141196663,17.4433445349357,20.0018503249637,23.5312450695206,23.6261241827514,21.7259098359601,45.4107869049685,76.0402895895294,108.315511911557,46.3216274301178,35.1568207423585
"11977",132,2018-10-16,353.425066390172,80.8409627131937,16.5206079890688,18.3309406510117,21.0945952600644,21.608197002945,19.8632183481077,42.8603353823785,69.3807513410917,94.2303335312055,43.0982576984491,34.5685180330341
"11978",132,2018-10-17,362.679927059646,82.8996006074976,16.7577251512213,18.7737106246455,21.6960474543622,22.2004096197064,20.2695813767755,43.1128575637888,70.2777001219273,100.44950274979,43.7684485806407,34.8740457641496
"11979",132,2018-10-18,382.770541052858,83.2518870645513,16.3126886954945,17.5119083068921,20.1311142781995,21.253483231203,19.2563040947135,40.9438805348333,65.5992560664055,96.5146885217949,42.3645165507402,34.4994002488034
"11980",132,2018-10-19,316.936535680723,83.3508385980872,14.1550618246931,17.7181829506554,20.6437305221242,22.1056988718929,21.1612165210005,42.2820462501238,68.678731071252,95.9700270863567,46.6715794690828,32.1299431737404
"11981",132,2018-10-20,317.500105552696,80.9142532428067,14.1332545764656,17.4832350342893,20.3565184933975,21.9979239760231,20.7870149645827,41.9225210470117,66.6951123322846,91.7088315237238,46.5634482201993,32.5092651328735
"11982",132,2018-10-21,351.656378902619,87.4006611417136,14.8303486780545,17.6741570195411,20.6824115270803,22.1905848862839,20.6730680863167,42.2591735388308,66.2607429950549,99.2111821261616,45.160788449624,32.5917686233332
"11983",132,2018-10-22,267.489842704373,77.7067762821917,15.1705881844351,18.2547340332296,20.70519573227,22.5768038100864,20.0559892932736,42.2000212653094,65.9952341188066,98.3890540255011,47.8009507900396,34.9288310505716
"11984",132,2018-10-23,305.022120110455,84.3824116757591,16.9020377337789,19.0361026095434,21.5355367158717,23.1024419455637,20.1629604955635,42.3168382234295,71.7410566214391,101.543141674365,45.5116250797502,35.9852540847177
"11985",132,2018-10-24,285.877302127271,90.5588058531174,17.0360312240367,20.5355548039696,23.2067453801833,24.4536034876372,21.8204172970118,44.0570755559504,94.5629473854969,114.532544470237,46.1885583079187,36.0601659564339
"11986",132,2018-10-25,438.337368188147,84.4850175953923,13.3923542460569,16.6698006436891,19.2388629163567,20.3899200955936,20.1867899991108,40.7183358438724,59.7948656423967,83.4035755892309,43.0940743227124,29.0088028259955
"11987",132,2018-10-26,342.899995740688,89.7038707984333,14.5758545042259,18.3727398624075,21.3033283843802,22.40015400193,21.8944646263508,43.8859493119878,76.48601024874,98.7550407355718,46.2769160788663,31.2157353090856
"11988",132,2018-10-27,343.965556394372,90.0401392826392,14.7148251748365,18.4549028856005,21.4220108744498,22.4643153819175,21.9031863397076,43.8210227501907,77.2269397430871,99.5785714385415,46.4150825193513,31.2923406079369
"11989",132,2018-10-28,339.192798564193,88.6558438974164,14.2485977062082,18.124492756411,21.0761192318436,21.9752177614526,21.6640650582142,44.3122869555823,71.4705556025955,95.0018420620642,46.0907949283702,29.8601114817176
"11990",132,2018-10-29,363.27013156936,93.1615215214987,12.7386532457415,17.4615518815007,20.164401905983,21.1805141847223,21.7860075429089,42.6552830650567,60.6343454416136,97.5664572565791,46.3613856292556,26.586550746672
"11991",132,2018-10-30,358.21626584003,94.8571407487455,13.009805865951,17.3267674725096,20.5727906512729,20.9605743455844,21.3944753974935,39.2898293356914,54.8365127336553,105.596930466566,47.5604226702652,25.7386162405103
"11992",132,2018-10-31,366.68872556872,91.335806566923,12.3575946446462,16.8221024976493,19.6681211469231,20.4625279186577,21.1196549161051,39.8237780239492,54.45970907217,97.0089370231932,46.3291466694579,25.7952771764611
"11993",132,2018-11-01,399.01505342455,103.8800082051,15.4374903871062,19.0879366163132,22.0903274338964,23.3472727273127,22.6244606702769,44.5572096277309,67.5806093273227,109.26266690909,45.367794943089,28.8265512659917
"11994",132,2018-11-02,549.967652994442,90.7912320384932,14.4061666247283,19.3371285113572,22.6430094446189,23.4609035230647,24.5149354681484,40.7638143074717,55.2916498001984,96.970194355086,49.1040807391957,27.057131172886
"11995",132,2018-11-03,512.717211381523,95.7932257815263,15.3412464565572,20.2154580477377,22.5992557036458,24.3566782144856,25.5784250880574,41.6221537406953,53.2471144887363,95.9290274064999,45.7030155313968,30.1105199798535
"11996",132,2018-11-04,369.761333407006,95.8912723939934,15.1152784410134,18.6321315299435,21.936728994912,22.398231646882,22.284515645958,37.2896430053416,53.4659808255731,109.328670138569,47.7137923762645,30.7298208373416
"11997",132,2018-11-05,389.215286510774,97.2431668572447,17.0684953467311,19.7604583162063,22.8825171984885,23.0423688034593,22.2348176053993,36.4621289394715,54.4542740311218,117.79502052746,46.0400761838033,31.6330660320153
"11998",132,2018-11-06,429.171530990604,94.2636993549496,16.5727071701016,19.7739143599055,22.7275998162218,22.7177582109488,22.1409783259233,36.9611424267052,56.8492402167958,114.310861179432,45.8168299958171,31.3689594868824
"11999",132,2018-11-07,553.853309764736,88.265421184425,17.2009839401106,21.4998695274849,25.6669349486786,25.4192267307507,25.185042265705,40.0812649980339,68.0131549687992,109.234236194534,46.5567483549508,29.9784083781804
"12000",132,2018-11-08,630.656495991909,99.390733662579,19.6108455351288,21.952114976675,27.1050066599912,25.1613366348808,24.58843216199,40.0623332302933,72.2188126393966,126.535315960884,50.6369743894222,29.4710881154927
"12001",132,2018-11-09,835.878167863904,99.5068275185919,19.6617338125573,22.9953925258589,28.4576099315117,26.37321558954,26.7393056415558,40.5246838137508,68.4284010505427,123.547632822253,49.3594035959475,27.9542286777103
"12002",132,2018-11-10,700.476321759769,96.098870722631,19.6794169442425,22.1777392281625,27.4409892845988,25.6420957444997,25.164964451177,39.9068735601032,68.4687498665502,118.12926927142,47.8576805260423,29.0921768905283
"12003",132,2018-11-11,1012.19634677654,91.1716761081269,20.2491359534802,22.7678760756906,27.9822193709221,27.530264658473,27.1693051713943,41.9643558004997,63.4896217360795,103.673340668115,43.6011759547516,28.5344563734229
"12004",132,2018-11-12,1597.11880228215,100.565762334187,19.795910019447,22.6262790917582,28.4914942749645,27.1277777334428,27.6173975946386,41.0518259953619,61.2668176731244,111.437333909627,45.8569854814367,25.8644485571648
"12005",132,2018-11-13,1898.32068907571,97.0434661054311,20.2534423273495,22.9160176941664,28.7631675679982,27.3111645403707,27.7218992556227,41.0750998662246,62.1237737277927,117.544469266389,44.7134132553845,26.285722857834
"12006",132,2018-11-14,1662.94152261733,84.6636405264179,18.4296431281215,22.8552807407233,27.5602046333791,31.173921028269,26.7936988952474,42.0885186622485,65.5163058463912,92.2802298456132,36.0916184485746,24.8040482955946
"12007",132,2018-11-15,1303.02118537351,88.3800817375263,15.6280066075548,21.6684897427883,24.7541257361922,24.4281458663091,26.8510499093226,42.3689756415292,61.825287688369,89.146901987479,36.6653572115061,24.9888388534105
"12008",132,2018-11-16,1173.91634671827,89.7764582744246,15.8363792888524,21.6964636280006,24.5317213011954,24.7347799837847,26.542381552869,41.9921124797993,61.7137259419922,91.9798150425,36.0261915438966,25.1427964488788
"12009",132,2018-11-17,1360.55948942543,90.5904006943942,16.2082199796901,22.2490261440693,25.1945416222663,25.3415641009498,27.3685730163697,42.2710593993245,64.0262122417777,92.7767750132042,36.5216641963579,24.8095274107601
"12010",132,2018-11-18,1405.08110712732,91.4504920443304,16.4687196544466,22.6676394968769,25.7096754360901,25.8815397616215,27.8915447379386,42.2945648143769,65.5803449826579,93.1684081695736,36.9671803166982,24.5868915297928
