"","x"
"1",-0.426235741444867
"2",-0.301520912547528
"3",-0.0832699619771864
"4",-0.223574144486692
"5",0.322053231939163
"6",-0.441825095057034
"7",0.0726235741444867
"8",-0.395057034220533
"9",0.0726235741444867
"10",-0.130038022813688
"11",-0.285931558935361
"12",-0.301520912547528
"13",-0.644486692015209
"14",-0.0832699619771864
"15",-0.535361216730038
"16",-0.722433460076046
"17",-1.33041825095057
"18",-1.06539923954373
"19",-0.270342205323194
"20",-0.457414448669202
"21",-0.550950570342206
"22",-0.00532319391634939
"23",-0.0832699619771864
"24",-0.145627376425856
"25",-0.114448669201521
"26",-0.660076045627377
"27",-0.4106463878327
"28",-0.473003802281369
"29",0.0882129277566541
"30",-0.161216730038023
"31",0.0882129277566541
"32",-0.395057034220533
"33",-0.0365019011406844
"34",-0.550950570342206
"35",-0.58212927756654
"36",-0.23916349809886
"37",-0.34828897338403
"38",-0.301520912547528
"39",0.290874524714829
"40",-0.207984790874525
"41",-0.114448669201521
"42",-0.363878326996198
"43",0.290874524714829
"44",0.0258555133079845
"45",-0.223574144486692
"46",-0.130038022813688
"47",-0.17680608365019
"48",0.0258555133079845
"49",0.259695817490494
"50",-0.17680608365019
"51",-0.23916349809886
"52",0.0726235741444867
"53",0.275285171102662
"54",-0.535361216730038
"55",0.4
"56",-0.706844106463878
"57",-0.395057034220532
"58",-0.971863117870723
"59",-0.379467680608365
"60",-1.01863117870722
"61",-0.597718631178707
"62",-0.23916349809886
"63",-0.379467680608365
"64",-0.519771863117871
"65",-0.691254752851711
"66",-0.441825095057034
"67",-0.207984790874525
"68",0.290874524714829
"69",-0.0365019011406842
"70",-0.4106463878327
"71",-0.270342205323194
"72",-0.17680608365019
"73",-0.114448669201521
"74",-0.067680608365019
"75",-0.457414448669202
"76",-0.270342205323194
"77",-0.4106463878327
"78",0.088212927756654
"79",-0.613307984790875
"80",-0.675665399239544
"81",-0.239163498098859
"82",-0.58212927756654
"83",-0.363878326996198
"84",-0.395057034220533
"85",-0.379467680608365
"86",-1.01863117870722
"87",-0.4106463878327
"88",-1.09657794676806
"89",-2.09429657794677
"90",-1.48631178707224
"91",-0.878326996197719
"92",-0.535361216730038
"93",-0.0988593155893538
"94",-0.457414448669202
"95",-0.161216730038023
"96",-0.285931558935361
"97",-0.441825095057034
"98",-0.925095057034221
"99",-0.34828897338403
"100",-0.800380228136882
"101",-0.0520912547528516
"102",-0.254752851711027
"103",-0.488593155893536
"104",-0.660076045627377
"105",-0.706844106463878
"106",-0.223574144486692
"107",-0.675665399239544
"108",-0.270342205323194
"109",-0.317110266159696
"110",-0.98745247148289
"111",0.0414448669201519
"112",-0.0365019011406844
"113",-0.488593155893536
"114",-0.254752851711027
"115",-0.4106463878327
"116",-0.566539923954373
"117",-0.675665399239544
"118",-0.395057034220532
"119",-0.58212927756654
"120",-0.395057034220533
"121",-0.457414448669202
"122",-0.473003802281369
"123",-0.4106463878327
"124",-0.317110266159696
"125",-0.17680608365019
"126",-0.285931558935361
"127",-0.23916349809886
"128",-0.473003802281369
"129",-0.628897338403042
"130",-0.395057034220533
"131",-0.270342205323194
"132",-0.332699619771863
"133",-0.473003802281369
"134",-1.56425855513308
"135",-5.63307984790875
"136",4.5
